IP,Client,Timestamp,Method,URL,Protocol,Status,Size,Referer,User-Agent,OS,Date,Bot,City,z_score
193.104.184.225,-,2015-05-19 15:05:04+00:00,GET,/files/logstash/logstash-1.1.0-monolithic.jar,HTTP/1.1,200,40923996,http://semicomplete.com/files/logstash/,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36",Windows,2015-05-19,,,11.449682607614365
217.195.202.13,-,2015-05-19 22:05:03+00:00,GET,/files/logstash/semicomplete.com.access,HTTP/1.1,200,48437287,-,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1),Windows,2015-05-19,,,13.566979508091045
184.154.149.126,-,2015-05-20 01:05:41+00:00,GET,/misc/sample.log,HTTP/1.0,200,54306753,http://www.semicomplete.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:22.0) Gecko/20100101 Firefox/22.0,Mac OS X,2015-05-20,,,15.221035256664239
75.127.15.68,-,2015-05-20 02:05:32+00:00,GET,/misc/sample.log,HTTP/1.0,200,54306753,http://www.semicomplete.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:22.0) Gecko/20100101 Firefox/22.0,Mac OS X,2015-05-20,,Buffalo,15.221035256664239
50.2.225.202,-,2015-05-20 03:05:36+00:00,GET,/misc/sample.log,HTTP/1.0,200,54306753,http://www.semicomplete.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:22.0) Gecko/20100101 Firefox/22.0,Mac OS X,2015-05-20,,Frankfurt am Main,15.221035256664239
190.153.25.242,-,2015-05-20 03:05:57+00:00,GET,/files/logstash/logstash-1.1.0-monolithic.jar,HTTP/1.1,200,40923996,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36",Windows,2015-05-20,,,11.449682607614365
190.153.25.242,-,2015-05-20 04:05:13+00:00,GET,/files/logstash/logstash-1.1.9-monolithic.jar,HTTP/1.1,200,69192717,-,curl/7.22.0 (i686-pc-linux-gnu) libcurl/7.22.0 OpenSSL/1.0.1 zlib/1.2.3.4 libidn/1.23 librtmp/2.3,Linux,2015-05-20,,,19.416001941410965
23.94.36.245,-,2015-05-20 04:05:52+00:00,GET,/misc/sample.log,HTTP/1.0,200,54306753,http://www.semicomplete.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:22.0) Gecko/20100101 Firefox/22.0,Mac OS X,2015-05-20,,Elk Grove Village,15.221035256664239
198.208.159.20,-,2015-05-20 05:05:34+00:00,GET,/files/logstash/logstash-1.0.17-monolithic.jar,HTTP/1.1,200,35554730,http://logstash.net/docs/1.0.17/getting-started-simple,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36",Windows,2015-05-20,,,9.936586647450596
184.154.149.126,-,2015-05-20 05:05:20+00:00,GET,/misc/sample.log,HTTP/1.0,200,54306753,http://www.semicomplete.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:22.0) Gecko/20100101 Firefox/22.0,Mac OS X,2015-05-20,,,15.221035256664239
173.236.34.182,-,2015-05-20 09:05:21+00:00,GET,/misc/sample.log,HTTP/1.0,200,54306753,http://www.semicomplete.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:22.0) Gecko/20100101 Firefox/22.0,Mac OS X,2015-05-20,,,15.221035256664239
185.38.249.96,-,2015-05-20 12:05:32+00:00,GET,/misc/sample.log,HTTP/1.1,200,54306753,http://www.semicomplete.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:22.0) Gecko/20100101 Firefox/22.0,Mac OS X,2015-05-20,,,15.221035256664239
198.27.64.9,-,2015-05-20 13:05:48+00:00,GET,/misc/sample.log,HTTP/1.1,200,54306753,http://www.semicomplete.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:22.0) Gecko/20100101 Firefox/22.0,Mac OS X,2015-05-20,,,15.221035256664239
78.57.150.9,-,2015-05-20 17:05:49+00:00,GET,/misc/sample.log,HTTP/1.1,200,54306753,http://www.semicomplete.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:22.0) Gecko/20100101 Firefox/22.0,Mac OS X,2015-05-20,,Gargždai,15.221035256664239
182.253.73.95,-,2015-05-20 18:05:37+00:00,GET,/misc/sample.log,HTTP/1.1,200,54306753,http://www.semicomplete.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:22.0) Gecko/20100101 Firefox/22.0,Mac OS X,2015-05-20,,Surabaya,15.221035256664239
5.10.83.91,-,2015-05-20 18:05:17+00:00,GET,/files/logstash/logstash-1.0.10gelf_fix-monolithic.jar,HTTP/1.1,200,33493986,-,Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/),Other,2015-05-20,,Amsterdam,9.355854863752093
